Tenure,PreferredLoginDevice,CityTier,WarehouseToHome,PreferredPaymentMode,Gender,HourSpendOnApp,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount,Recency,Frequency,Monetary,EngagementScore,ComplaintRatio,Churn
9.0,2,1.0,33.0,0,0,3.0,3.0,3,4.0,2,3.0,0.0,15.0,1.0,1.0,2.0,123.11000000000001,2.0,1.0,123.11000000000001,3.0,0.0,0
4.0,2,3.0,26.0,5,0,3.0,3.0,3,4.0,2,2.0,1.0,22.0,0.0,1.0,2.0,131.4,2.0,1.0,131.4,3.0,0.49999750001249993,1
23.0,2,1.0,6.0,3,1,2.0,4.0,4,3.0,0,3.0,0.0,15.0,0.0,1.0,2.0,136.9,2.0,1.0,136.9,2.8,0.0,0
26.0,2,1.0,19.0,3,0,2.0,2.0,2,5.0,1,2.0,0.0,11.0,1.0,1.0,3.0,144.5,3.0,1.0,144.5,2.0,0.0,0
6.0,2,1.0,20.0,0,0,3.0,3.0,3,4.0,0,2.0,0.0,13.0,0.0,1.0,6.0,127.56,6.0,1.0,127.56,3.0,0.0,0
13.0,1,1.0,10.0,3,0,2.0,3.0,5,3.0,0,2.0,0.0,14.0,1.0,9.0,9.0,290.33,9.0,9.0,290.33,2.4000000000000004,0.0,0
28.0,1,1.0,20.0,3,1,3.0,2.0,5,4.0,2,9.0,0.0,11.0,1.0,2.0,15.0,287.22,15.0,2.0,287.22,2.5999999999999996,0.0,0
7.0,0,1.0,8.0,4,1,2.0,4.0,2,3.0,0,2.0,0.0,17.0,0.0,1.0,9.0,195.47,9.0,1.0,195.47,2.8,0.0,0
24.0,1,1.0,9.0,3,0,3.0,3.0,1,4.0,2,4.0,0.0,18.0,0.0,2.0,0.0,237.33999999999997,0.0,2.0,237.33999999999997,3.0,0.0,0
25.0,1,1.0,6.0,4,1,3.0,4.0,5,3.0,0,1.0,0.0,15.0,1.0,11.0,9.0,299.99,9.0,11.0,299.99,3.4,0.0,0
9.0,2,1.0,15.0,0,0,2.0,3.0,3,4.0,2,2.0,0.0,16.0,1.0,1.0,3.0,122.78999999999999,3.0,1.0,122.78999999999999,2.4000000000000004,0.0,0
0.0,1,1.0,29.0,4,1,2.0,4.0,2,3.0,0,4.0,1.0,13.0,1.0,1.0,1.0,159.16,1.0,1.0,159.16,2.8,0.24999937500156252,1
9.0,0,1.0,13.0,0,1,2.0,2.0,3,2.0,1,5.0,0.0,14.0,0.0,2.0,2.0,120.88999999999999,2.0,2.0,120.88999999999999,2.0,0.0,0
18.0,0,1.0,8.0,3,1,3.0,4.0,1,2.0,0,10.0,0.0,23.0,1.0,11.0,8.0,267.92,8.0,11.0,267.92,3.4,0.0,0
10.0,2,1.0,27.0,4,1,3.0,2.0,4,5.0,0,2.0,1.0,12.0,0.0,1.0,7.0,135.64,7.0,1.0,135.64,2.5999999999999996,0.49999750001249993,0
8.0,0,1.0,8.0,3,0,2.0,3.0,2,4.0,2,6.0,0.0,11.0,1.0,1.0,2.0,144.25,2.0,1.0,144.25,2.4000000000000004,0.0,0
15.0,0,1.0,27.0,3,0,2.0,3.0,2,3.0,1,3.0,0.0,16.0,0.0,1.0,2.0,152.65,2.0,1.0,152.65,2.4000000000000004,0.0,0
11.0,1,1.0,8.0,4,1,2.0,3.0,2,3.0,0,10.0,0.0,14.0,0.0,1.0,0.0,165.53,0.0,1.0,165.53,2.4000000000000004,0.0,0
11.0,1,1.0,35.0,1,1,2.0,3.0,2,2.0,0,4.0,0.0,18.0,0.0,1.0,7.0,162.61,7.0,1.0,162.61,2.4000000000000004,0.0,0
0.0,0,1.0,6.0,1,1,2.0,4.0,2,5.0,0,6.0,0.0,19.0,0.0,2.0,0.0,142.98,0.0,2.0,142.98,2.8,0.0,0
22.0,0,1.0,24.0,4,1,3.0,3.0,2,2.0,1,2.0,1.0,15.0,0.0,1.0,7.0,168.04,7.0,1.0,168.04,3.0,0.49999750001249993,0
7.0,0,1.0,16.0,3,1,2.0,3.0,4,3.0,1,2.0,1.0,17.0,2.0,2.0,0.0,138.15,0.0,2.0,138.15,2.4000000000000004,0.49999750001249993,0
13.0,2,1.0,25.0,0,1,3.0,3.0,2,2.0,0,9.0,1.0,15.0,1.0,3.0,7.0,127.41,7.0,3.0,127.41,3.0,0.11111098765445816,0
1.0,1,1.0,35.0,3,1,3.0,3.0,2,5.0,0,8.0,1.0,19.0,0.0,1.0,0.0,166.73,0.0,1.0,166.73,3.0,0.12499984375019532,1
0.0,1,3.0,33.0,5,0,2.0,3.0,0,2.0,0,2.0,0.0,22.0,1.0,1.0,9.0,176.39,9.0,1.0,176.39,2.4000000000000004,0.0,1
0.0,2,1.0,14.0,4,1,2.0,2.0,3,4.0,1,2.0,1.0,16.0,0.0,2.0,2.0,123.28,2.0,2.0,123.28,2.0,0.49999750001249993,0
9.0,0,1.0,24.0,0,0,3.0,3.0,3,2.0,2,2.0,0.0,13.0,1.0,1.0,7.0,121.53,7.0,1.0,121.53,3.0,0.0,0
13.0,0,1.0,15.0,4,1,3.0,4.0,2,2.0,0,10.0,0.0,14.0,1.0,1.0,2.0,148.76,2.0,1.0,148.76,3.4,0.0,0
19.0,1,1.0,6.0,3,1,3.0,3.0,0,5.0,1,8.0,0.0,16.0,0.0,1.0,3.0,193.96,3.0,1.0,193.96,3.0,0.0,0
0.0,1,3.0,10.0,3,1,2.0,5.0,0,2.0,0,2.0,0.0,11.0,7.0,9.0,8.0,204.0,8.0,9.0,204.0,3.2,0.0,1
3.0,0,1.0,6.0,4,1,2.0,4.0,0,3.0,2,2.0,0.0,22.0,2.0,5.0,8.0,184.74,8.0,5.0,184.74,2.8,0.0,0
0.0,0,3.0,26.0,4,0,2.0,3.0,2,3.0,2,2.0,0.0,14.0,1.0,1.0,7.0,199.81,7.0,1.0,199.81,2.4000000000000004,0.0,0
24.0,1,1.0,14.0,4,1,2.0,4.0,0,4.0,0,6.0,0.0,16.0,1.0,4.0,3.0,224.89999999999998,3.0,4.0,224.89999999999998,2.8,0.0,0
0.0,2,1.0,14.0,1,0,2.0,3.0,3,5.0,2,6.0,1.0,11.0,1.0,1.0,4.0,126.57,4.0,1.0,126.57,2.4000000000000004,0.16666638888935187,1
14.0,1,3.0,12.0,4,0,3.0,3.0,0,2.0,2,4.0,1.0,18.0,0.0,2.0,0.0,235.91000000000003,0.0,2.0,235.91000000000003,3.0,0.24999937500156252,0
0.0,0,3.0,32.0,5,0,2.0,4.0,2,5.0,2,6.0,0.0,15.0,0.0,1.0,1.0,166.96,1.0,1.0,166.96,2.8,0.0,1
9.0,2,1.0,6.0,2,1,2.0,3.0,3,3.0,2,1.0,0.0,14.0,0.0,1.0,5.0,120.58000000000001,5.0,1.0,120.58000000000001,2.4000000000000004,0.0,1
18.0,0,3.0,12.0,3,0,2.0,4.0,0,2.0,2,7.0,0.0,12.0,12.0,12.0,8.0,188.65,8.0,12.0,188.65,2.8,0.0,0
27.0,1,3.0,9.0,5,0,2.0,3.0,2,5.0,0,3.0,0.0,14.0,1.0,1.0,5.0,159.4,5.0,1.0,159.4,2.4000000000000004,0.0,0
9.0,1,1.0,11.0,4,1,3.0,3.0,2,4.0,2,9.0,0.0,16.0,0.0,3.0,7.0,159.14,7.0,3.0,159.14,3.0,0.0,0
6.0,2,1.0,14.0,0,0,2.0,4.0,3,4.0,0,7.0,0.0,21.0,0.0,1.0,1.0,126.22,1.0,1.0,126.22,2.8,0.0,0
10.0,0,1.0,17.0,6,1,2.0,3.0,0,2.0,1,2.0,1.0,14.0,0.0,1.0,3.0,221.85000000000002,3.0,1.0,221.85000000000002,2.4000000000000004,0.49999750001249993,0
11.0,1,3.0,9.0,4,1,3.0,3.0,0,3.0,1,1.0,0.0,12.0,1.0,5.0,13.0,206.08999999999997,13.0,5.0,206.08999999999997,3.0,0.0,0
4.0,0,1.0,6.0,3,1,2.0,5.0,2,3.0,0,1.0,0.0,12.0,1.0,1.0,4.0,143.45,4.0,1.0,143.45,3.2,0.0,0
9.0,2,1.0,9.0,4,1,3.0,4.0,3,2.0,0,4.0,0.0,17.0,0.0,1.0,0.0,121.77000000000001,0.0,1.0,121.77000000000001,3.4,0.0,0
10.0,0,3.0,10.0,5,1,2.0,3.0,4,2.0,1,5.0,0.0,17.0,1.0,5.0,8.0,0.0,8.0,5.0,0.0,2.4000000000000004,0.0,0
2.0,0,3.0,6.0,3,0,2.0,3.0,0,2.0,0,2.0,0.0,14.0,4.0,4.0,1.0,179.18,1.0,4.0,179.18,2.4000000000000004,0.0,0
8.0,0,3.0,6.0,5,0,3.0,3.0,0,3.0,2,2.0,0.0,14.0,1.0,1.0,8.0,187.89,8.0,1.0,187.89,3.0,0.0,0
0.0,2,1.0,14.0,0,1,2.0,4.0,3,2.0,2,2.0,1.0,13.0,0.0,1.0,1.0,123.88999999999999,1.0,1.0,123.88999999999999,2.8,0.49999750001249993,1
25.0,2,1.0,8.0,4,0,2.0,4.0,3,2.0,2,8.0,0.0,15.0,0.0,2.0,2.0,132.12,2.0,2.0,132.12,2.8,0.0,0
15.0,1,1.0,10.0,2,1,2.0,3.0,5,2.0,0,2.0,0.0,15.0,0.0,11.0,15.0,292.32,15.0,11.0,292.32,2.4000000000000004,0.0,0
9.0,2,2.0,12.0,0,1,2.0,3.0,3,3.0,0,9.0,0.0,17.0,2.0,2.0,2.0,122.66999999999999,2.0,2.0,122.66999999999999,2.4000000000000004,0.0,0
23.0,1,3.0,6.0,3,0,3.0,3.0,5,2.0,1,4.0,0.0,15.0,1.0,1.0,6.0,295.17,6.0,1.0,295.17,3.0,0.0,0
0.0,2,1.0,14.0,0,1,2.0,3.0,3,2.0,0,6.0,1.0,13.0,0.0,1.0,4.0,124.36000000000001,4.0,1.0,124.36000000000001,2.4000000000000004,0.16666638888935187,1
16.0,1,3.0,22.0,5,0,3.0,3.0,1,2.0,0,6.0,1.0,22.0,0.0,2.0,9.0,260.64,9.0,2.0,260.64,3.0,0.16666638888935187,0
0.0,2,1.0,8.0,4,0,3.0,3.0,3,5.0,0,8.0,0.0,20.0,1.0,1.0,7.0,127.07,7.0,1.0,127.07,3.0,0.0,1
25.0,0,3.0,8.0,4,1,3.0,4.0,5,3.0,2,2.0,1.0,18.0,1.0,15.0,12.0,290.68,12.0,15.0,290.68,3.4,0.49999750001249993,0
5.0,2,3.0,10.0,4,0,2.0,3.0,4,4.0,0,3.0,0.0,11.0,1.0,1.0,2.0,139.31,2.0,1.0,139.31,2.4000000000000004,0.0,0
0.0,2,1.0,6.0,4,1,3.0,4.0,4,3.0,2,1.0,1.0,14.0,1.0,1.0,2.0,137.3,2.0,1.0,137.3,3.4,0.9999900000999989,1
9.0,2,1.0,6.0,0,0,3.0,3.0,3,3.0,1,8.0,0.0,14.0,0.0,1.0,2.0,122.32,2.0,1.0,122.32,3.0,0.0,0
5.0,0,3.0,32.0,5,1,3.0,3.0,2,2.0,0,1.0,0.0,18.0,1.0,2.0,2.0,144.65,2.0,2.0,144.65,3.0,0.0,0
14.0,2,1.0,25.0,4,1,3.0,3.0,2,5.0,1,3.0,0.0,16.0,1.0,1.0,0.0,130.72,0.0,1.0,130.72,3.0,0.0,0
13.0,2,1.0,30.0,1,1,3.0,3.0,2,2.0,1,2.0,0.0,17.0,2.0,4.0,7.0,133.19,7.0,4.0,133.19,3.0,0.0,0
18.0,1,1.0,6.0,6,1,3.0,2.0,5,2.0,0,1.0,0.0,15.0,1.0,1.0,7.0,292.02,7.0,1.0,292.02,2.5999999999999996,0.0,0
4.0,0,1.0,9.0,3,1,3.0,3.0,0,3.0,1,10.0,0.0,12.0,1.0,2.0,2.0,236.75,2.0,2.0,236.75,3.0,0.0,0
6.0,2,1.0,11.0,4,0,3.0,4.0,3,2.0,0,2.0,0.0,13.0,0.0,1.0,2.0,129.11,2.0,1.0,129.11,3.4,0.0,0
7.0,1,1.0,8.0,4,1,2.0,4.0,2,5.0,0,7.0,0.0,13.0,0.0,5.0,9.0,159.57,9.0,5.0,159.57,2.8,0.0,0
10.0,2,1.0,6.0,3,0,2.0,4.0,4,5.0,0,3.0,0.0,14.0,1.0,1.0,2.0,139.2,2.0,1.0,139.2,2.8,0.0,0
18.0,0,1.0,13.0,4,1,3.0,2.0,2,3.0,0,5.0,0.0,17.0,0.0,1.0,2.0,164.34,2.0,1.0,164.34,2.5999999999999996,0.0,0
0.0,0,1.0,16.0,3,1,3.0,3.0,0,3.0,1,7.0,0.0,11.0,1.0,1.0,0.0,200.48,0.0,1.0,200.48,3.0,0.0,1
12.0,0,1.0,8.0,2,0,3.0,3.0,0,3.0,2,1.0,0.0,25.0,10.0,11.0,3.0,209.38,3.0,11.0,209.38,3.0,0.0,0
2.0,2,1.0,14.0,4,1,2.0,3.0,3,2.0,2,2.0,0.0,19.0,0.0,1.0,5.0,123.4,5.0,1.0,123.4,2.4000000000000004,0.0,0
15.0,1,1.0,23.0,4,0,2.0,2.0,2,5.0,2,4.0,1.0,13.0,0.0,1.0,2.0,165.45,2.0,1.0,165.45,2.0,0.24999937500156252,0
2.0,1,3.0,26.0,5,1,2.0,3.0,2,2.0,1,3.0,0.0,14.0,1.0,1.0,2.0,169.31,2.0,1.0,169.31,2.4000000000000004,0.0,0
0.0,2,1.0,6.0,4,0,3.0,3.0,2,3.0,0,1.0,0.0,12.0,1.0,1.0,2.0,148.98,2.0,1.0,148.98,3.0,0.0,0
15.0,2,1.0,14.0,0,0,2.0,4.0,3,5.0,1,1.0,1.0,11.0,4.0,7.0,8.0,125.93,8.0,7.0,125.93,2.8,0.9999900000999989,0
13.0,1,1.0,8.0,3,1,2.0,3.0,5,3.0,1,1.0,0.0,15.0,0.0,3.0,9.0,294.36,9.0,3.0,294.36,2.4000000000000004,0.0,0
24.0,2,1.0,6.0,4,1,3.0,3.0,3,2.0,0,2.0,0.0,11.0,1.0,1.0,0.0,127.22999999999999,0.0,1.0,127.22999999999999,3.0,0.0,0
0.0,0,1.0,35.0,0,1,3.0,4.0,3,4.0,2,1.0,0.0,11.0,1.0,1.0,4.0,134.79,4.0,1.0,134.79,3.4,0.0,1
5.0,0,1.0,13.0,4,1,3.0,2.0,3,4.0,0,2.0,0.0,20.0,0.0,1.0,3.0,127.94,3.0,1.0,127.94,2.5999999999999996,0.0,0
11.0,0,3.0,8.0,4,1,2.0,4.0,2,2.0,0,4.0,0.0,18.0,6.0,7.0,5.0,152.49,5.0,7.0,152.49,2.8,0.0,0
9.0,2,1.0,8.0,2,1,2.0,4.0,2,5.0,2,5.0,0.0,13.0,0.0,1.0,4.0,121.75999999999999,4.0,1.0,121.75999999999999,2.8,0.0,0
19.0,1,3.0,8.0,2,0,3.0,5.0,1,4.0,0,4.0,1.0,12.0,1.0,7.0,7.0,268.72,7.0,7.0,268.72,3.8,0.24999937500156252,0
0.0,2,1.0,8.0,4,1,3.0,3.0,3,3.0,2,3.0,0.0,11.0,1.0,1.0,0.0,134.85,0.0,1.0,134.85,3.0,0.0,1
2.0,1,3.0,8.0,3,1,3.0,4.0,2,4.0,0,3.0,0.0,19.0,0.0,1.0,0.0,166.44,0.0,1.0,166.44,3.4,0.0,0
4.0,1,1.0,29.0,3,1,3.0,4.0,2,2.0,0,1.0,0.0,21.0,1.0,7.0,8.0,155.82,8.0,7.0,155.82,3.4,0.0,0
0.0,0,1.0,11.0,4,1,2.0,2.0,2,5.0,1,2.0,0.0,12.0,1.0,1.0,5.0,140.0,5.0,1.0,140.0,2.0,0.0,0
18.0,1,1.0,26.0,3,1,3.0,3.0,1,2.0,0,1.0,1.0,14.0,0.0,2.0,10.0,234.95999999999998,10.0,2.0,234.95999999999998,3.0,0.9999900000999989,0
9.0,2,1.0,12.0,4,1,2.0,3.0,3,2.0,0,1.0,0.0,11.0,4.0,10.0,11.0,132.1,11.0,10.0,132.1,2.4000000000000004,0.0,0
28.0,1,1.0,6.0,3,1,2.0,3.0,5,5.0,2,1.0,1.0,14.0,1.0,4.0,13.0,290.45,13.0,4.0,290.45,2.4000000000000004,0.9999900000999989,0
10.0,0,1.0,35.0,4,1,2.0,3.0,0,4.0,0,2.0,1.0,12.0,5.0,9.0,3.0,218.49,3.0,9.0,218.49,2.4000000000000004,0.49999750001249993,1
9.0,2,1.0,15.0,0,1,3.0,3.0,3,2.0,0,2.0,0.0,23.0,1.0,1.0,4.0,120.69999999999999,4.0,1.0,120.69999999999999,3.0,0.0,0
10.0,1,3.0,12.0,3,1,3.0,3.0,2,2.0,0,5.0,0.0,14.0,0.0,1.0,1.0,165.02,1.0,1.0,165.02,3.0,0.0,0
0.0,2,1.0,9.0,0,1,3.0,4.0,3,3.0,2,2.0,0.0,17.0,1.0,1.0,0.0,132.3,0.0,1.0,132.3,3.4,0.0,0
10.0,0,1.0,6.0,3,0,0.0,3.0,0,2.0,1,3.0,1.0,18.0,0.0,2.0,2.0,236.02999999999997,2.0,2.0,236.02999999999997,1.2000000000000002,0.3333322222259259,0
2.0,1,1.0,28.0,4,0,3.0,2.0,0,4.0,1,8.0,0.0,18.0,5.0,6.0,3.0,219.95999999999998,3.0,6.0,219.95999999999998,2.5999999999999996,0.0,0
11.0,1,3.0,13.0,3,0,2.0,2.0,2,5.0,1,2.0,1.0,24.0,0.0,7.0,7.0,156.05,7.0,7.0,156.05,2.0,0.49999750001249993,0
